Subject Path: /work/pl/sch/analysis/data/COBRE001/swaAMAYER+cobre01_63001+M87100944+20110309at135133+RSTpre_V01_R01+CM.nii
[1, 53, 1, 1, 1] 0 (1, 53, 53)
[1, 53, 63, 1, 1] 1 (53, 63, 63)
[1, 53, 63, 63, 1] 2 (63, 46, 63)
ranks: [1, 53, 63, 63, 1]
A Tensor Train variable of shape (53, 63, 46, 144), TT-ranks: (1, 53, 63, 63, 1)
[1, 53, 1, 1, 1] 0 (1, 53, 53)
(7806256700000.0, 74, 0.05846921, 0.058488574, 0.008426274)
(7674425500000.0, 75, 0.057973396, 0.05799371, 0.008479913)
(7544814700000.0, 76, 0.057481766, 0.057502046, 0.008480274)
(7417067700000.0, 77, 0.056993052, 0.057013568, 0.00850206)
(7291153700000.0, 78, 0.05650722, 0.056528155, 0.008524437)
(7167141000000.0, 79, 0.056024604, 0.056045584, 0.008540769)
(7044994700000.0, 80, 0.05554515, 0.055565644, 0.008557889)
(6924877700000.0, 81, 0.05506959, 0.055088926, 0.008561673)
(6805873000000.0, 82, 0.054594353, 0.054614812, 0.00862979)
(6688780300000.0, 83, 0.05412268, 0.054143693, 0.008639609)
(6573567500000.0, 84, 0.053654525, 0.0536757, 0.008649859)
(6460159300000.0, 85, 0.053189687, 0.053210463, 0.008663538)
(6348409000000.0, 86, 0.052727632, 0.05274822, 0.008686932)
(6238352000000.0, 87, 0.052268583, 0.052289233, 0.008706041)
(6130027000000.0, 88, 0.051812794, 0.05183284, 0.008720138)
(6023188300000.0, 89, 0.051359292, 0.051379606, 0.008752702)
(5918008000000.0, 90, 0.050908882, 0.0509293, 0.008769785)
(5814282600000.0, 91, 0.05046077, 0.05048163, 0.008802225)
(5712240000000.0, 92, 0.05001601, 0.050036795, 0.008814023)
(5611850300000.0, 93, 0.049574558, 0.049594946, 0.008826187)
(5512941300000.0, 94, 0.04913574, 0.049156185, 0.008851654)
(5415540600000.0, 95, 0.048699748, 0.04872024, 0.008873237)
(5319599600000.0, 96, 0.04826644, 0.048286956, 0.008897523)
(5225297500000.0, 97, 0.04783671, 0.04785655, 0.008903305)
